[8,8]
Cell[1,1] : G
Cell[1,5] : G
Cell[1,8] : G
Cell[2,1] : G
Cell[2,2] : O
Cell[2,4] : O
Cell[2,5] : G
Cell[2,8] : G
Cell[3,1] : G
Cell[3,2] : O
Cell[3,3] : G
Cell[3,4] : O
Cell[3,5] : G
Cell[3,6] : O
Cell[3,8] : G
Cell[4,1] : G
Cell[4,2] : O
Cell[4,4] : O
Cell[4,6] : O
Cell[4,7] : G
Cell[4,8] : G
Cell[5,1] : G
Cell[5,2] : O
Cell[5,4] : O
Cell[5,5] : G
Cell[5,6] : O
Cell[5,8] : G
Cell[6,1] : G
Cell[6,2] : O
Cell[6,7] : O
Cell[6,8] : G
Cell[7,1] : G
Cell[7,4] : O
Cell[7,5] : O
Cell[7,7] : G
Cell[7,8] : G
Cell[8,1] : G
Cell[8,2] : G
Cell[8,3] : G
Cell[8,5] : G
Cell[8,8] : G
